nombre,dificultad,tiempo,nodo,variables,restricciones
ackley_5.bch,easy,0.05,139.6,5,1
chance.bch,easy,0.01,9.4,4,3
ex14_1_1.bch,easy,0.02,26.6,3,4
ex14_1_2.bch,easy,0.29,115.6,6,9
ex14_1_3.bch,easy,0.01,17.0,3,4
ex14_1_4.bch,easy,0.02,17.6,3,4
ex14_1_5.bch,easy,0.04,13.6,6,6
ex14_1_8.bch,easy,0.02,18.6,3,4
ex14_1_9.bch,easy,0.01,18.8,2,2
ex14_2_1.bch,easy,0.53,240.0,5,7
ex14_2_2.bch,easy,0.02,17.4,3,4
ex14_2_4.bch,easy,1.05,806.8,5,7
ex14_2_5.bch,easy,0.1,127.8,4,5
ex14_2_6.bch,easy,0.66,247.8,5,7
ex14_2_8.bch,easy,0.08,42.2,4,5
ex14_2_9.bch,easy,0.1,44.6,4,5
ex2_1_10.bch,easy,0.43,49.2,20,10
ex2_1_1.bch,easy,0.12,166.0,5,1
ex2_1_2.bch,easy,0.0,1.8,6,2
ex2_1_3.bch,easy,0.22,121.8,13,9
ex2_1_4.bch,easy,0.0,0.0,6,5
ex2_1_5.bch,easy,0.01,2.0,10,11
ex2_1_5bis.bch,easy,0.01,2.0,10,11
ex2_1_6.bch,easy,1.29,640.4,10,5
ex3_1_1.bch,easy,0.25,97.0,8,6
ex3_1_2.bch,easy,0.01,4.8,5,6
ex3_1_3.bch,easy,0.0,5.0,6,6
ex3_1_3bis.bch,easy,0.0,5.0,6,6
ex3_1_4.bch,easy,0.03,35.4,3,3
ex4_1_5.bch,easy,0.07,170.0,2,2
ex4_1_8.bch,easy,0.0,6.8,2,1
ex4_1_9.bch,easy,0.01,30.0,2,2
ex5_2_2_case1.bch,easy,0.14,67.0,9,6
ex5_2_2_case2.bch,easy,0.09,35.8,9,6
ex5_2_4.bch,easy,0.11,50.6,7,6
ex5_4_2.bch,easy,0.06,29.6,8,6
ex5_4_2bis.bch,easy,0.05,33.2,8,6
ex5_4_3.bch,easy,0.23,25.2,16,13
ex6_1_2.bch,easy,0.04,30.8,4,3
ex7_2_10.bch,easy,0.02,13.0,11,9
ex7_2_1.bch,easy,0.08,27.6,7,14
ex7_2_1bis.bch,easy,0.08,28.2,7,14
ex7_2_2.bch,easy,0.06,29.4,6,5
ex7_2_3.bch,easy,3600.0,6608738.5,8,6
ex7_2_3bis.bch,easy,0.74,288.0,8,6
ex7_2_5.bch,easy,0.02,12.2,5,6
ex7_2_6.bch,easy,0.01,19.4,3,1
ex7_2_7.bch,easy,0.04,39.0,4,2
ex7_3_1.bch,easy,0.08,58.2,4,7
ex7_3_2.bch,easy,0.06,84.0,4,7
ex7_3_3.bch,easy,0.15,122.0,5,8
ex7_3_6.bch,easy,0.0,0.0,17,17
ex8_1_1.bch,easy,0.01,10.2,2,2
ex8_1_2.bch,easy,0.01,15.6,1,1
ex8_1_4.bch,easy,0.02,31.2,2,1
ex8_1_5.bch,easy,0.06,109.2,2,2
ex8_1_6.bch,easy,0.01,24.2,2,2
ex8_1_6bis.bch,easy,0.03,181.6,2,2
ex8_1_7.bch,easy,0.53,357.2,5,3
ex8_1_8.bch,easy,0.06,32.8,6,5
ex8_1_8bis.bch,easy,0.07,29.4,6,5
ex8_4inf-1.bch,easy,0.13,2314.0,2,2
ex8_5_3-1.bch,easy,0.51,269.4,5,5
ex8_5_3.bch,easy,0.49,245.8,5,5
ex8_5_4.bch,easy,1.16,596.2,5,4
ex8_5_5-1.bch,easy,0.1,42.4,5,6
ex8_5_5.bch,easy,0.92,469.8,5,6
ex8_5_6-1.bch,easy,1.35,1751.4,6,6
ex9_1_10.bch,easy,0.01,8.2,14,12
ex9_1_1.bch,easy,0.03,6.4,13,12
ex9_1_2.bch,easy,0.01,3.8,10,9
